id,identifier,category_id,cost,fling_power,fling_effect_id,name,short_effect,effect
886,ride-pager,23,0,,,Ride Pager,Allows the player to summon a Ride Pokémon.,"Allows the player to summon a Ride Pokémon.  Unused, as this can be done simply by pressing Y."
887,beast-ball,33,0,,,Beast Ball,Tries to catch a wild Pokémon.  Success rate is 5× for Ultra Beasts and 0.1× for all other Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If the wild Pokémon is an Ultra Beast, this ball has a catch rate of 5×.  Otherwise, it has a catch rate of 0.1×.

    If used in a trainer battle, nothing happens and the ball is lost."
888,big-malasada,30,350,30,,Big Malasada,Cures major status ailments and confusion.,Cures major status ailments and confusion.
889,red-nectar,18,300,10,,Red Nectar,Changes Oricorio to Baile Style.,Changes Oricorio to Baile Style.  Single-use and cannot be used in battle.
890,yellow-nectar,18,300,10,,Yellow Nectar,Changes Oricorio to Pom-Pom Style.,Changes Oricorio to Pom-Pom Style.  Single-use and cannot be used in battle.
891,pink-nectar,18,300,10,,Pink Nectar,Changes Oricorio to Pa’u Style.,Changes Oricorio to Pa’u Style.  Single-use and cannot be used in battle.
892,purple-nectar,18,300,10,,Purple Nectar,Changes Oricorio to Sensu Style.,Changes Oricorio to Sensu Style.  Single-use and cannot be used in battle.
893,sun-flute,22,0,,,Sun Flute,Evolves Nebby into Solgaleo when used at the Altar of the Sunne.,Evolves Nebby into Solgaleo when used at the Altar of the Sunne.
894,moon-flute,22,0,,,Moon Flute,Evolves Nebby into Lunala when used at the Altar of the Moone.,Evolves Nebby into Lunala when used at the Altar of the Moone.
895,enigmatic-card,22,0,,,Enigmatic Card,Unlocks Looker's motel room on Route 8.,Unlocks Looker's motel room on Route 8.
896,terrain-extender,12,4000,60,,Terrain Extender,Held: Extends the holder's Terrain effects to 8 turns.,"Held: When the holder changes the Terrain (whether by move or ability), it will last  8 turns instead of 5."
897,protective-pads,12,4000,30,,Protective Pads,Held: Prevents side effects of contact moves used on the holder.,Held: Prevents side effects of contact moves used on the holder.
898,electric-seed,12,4000,10,,Electric Seed,Held: Consumed on Electric Terrain and raises the holder's Defense by one stage.,"Held: If the holder enters battle during Electric Terrain, or if Electric Terrain is activated while the holder is in battle, this item is consumed and the holder's Defense raises by one stage."
899,psychic-seed,12,4000,10,,Psychic Seed,Held: Consumed on Psychic Terrain and raises the holder's Special Defense by one stage.,"Held: If the holder enters battle during Psychic Terrain, or if Psychic Terrain is activated while the holder is in battle, this item is consumed and the holder's Special Defense raises by one stage."
900,misty-seed,12,4000,10,,Misty Seed,Held: Consumed on Misty Terrain and raises the holder's Special Defense by one stage.,"Held: If the holder enters battle during Misty Terrain, or if Misty Terrain is activated while the holder is in battle, this item is consumed and the holder's Special Defense raises by one stage."
901,grassy-seed,12,4000,10,,Grassy Seed,Held: Consumed on Grassy Terrain and raises the holder's Defense by one stage.,"Held: If the holder enters battle during Grassy Terrain, or if Grassy Terrain is activated while the holder is in battle, this item is consumed and the holder's Defense raises by one stage."
902,fighting-memory,45,1000,50,,Fighting Memory,Held: Changes Silvally to its Fighting form.  Changes Multi-Attack's type to Fighting.,Held: Changes Silvally to its Fighting form.  Changes Multi-Attack's type to Fighting.
903,flying-memory,45,1000,50,,Flying Memory,Held: Changes Silvally to its Flying form.  Changes Multi-Attack's type to Flying.,Held: Changes Silvally to its Flying form.  Changes Multi-Attack's type to Flying.
904,poison-memory,45,1000,50,,Poison Memory,Held: Changes Silvally to its Poison form.  Changes Multi-Attack's type to Poison.,Held: Changes Silvally to its Poison form.  Changes Multi-Attack's type to Poison.
905,ground-memory,45,1000,50,,Ground Memory,Held: Changes Silvally to its Ground form.  Changes Multi-Attack's type to Ground.,Held: Changes Silvally to its Ground form.  Changes Multi-Attack's type to Ground.
906,rock-memory,45,1000,50,,Rock Memory,Held: Changes Silvally to its Rock form.  Changes Multi-Attack's type to Rock.,Held: Changes Silvally to its Rock form.  Changes Multi-Attack's type to Rock.
907,bug-memory,45,1000,50,,Bug Memory,Held: Changes Silvally to its Bug form.  Changes Multi-Attack's type to Bug.,Held: Changes Silvally to its Bug form.  Changes Multi-Attack's type to Bug.
908,ghost-memory,45,1000,50,,Ghost Memory,Held: Changes Silvally to its Ghost form.  Changes Multi-Attack's type to Ghost.,Held: Changes Silvally to its Ghost form.  Changes Multi-Attack's type to Ghost.
909,steel-memory,45,1000,50,,Steel Memory,Held: Changes Silvally to its Steel form.  Changes Multi-Attack's type to Steel.,Held: Changes Silvally to its Steel form.  Changes Multi-Attack's type to Steel.
910,fire-memory,45,1000,50,,Fire Memory,Held: Changes Silvally to its Fire form.  Changes Multi-Attack's type to Fire.,Held: Changes Silvally to its Fire form.  Changes Multi-Attack's type to Fire.
911,water-memory,45,1000,50,,Water Memory,Held: Changes Silvally to its Water form.  Changes Multi-Attack's type to Water.,Held: Changes Silvally to its Water form.  Changes Multi-Attack's type to Water.
912,grass-memory,45,1000,50,,Grass Memory,Held: Changes Silvally to its Grass form.  Changes Multi-Attack's type to Grass.,Held: Changes Silvally to its Grass form.  Changes Multi-Attack's type to Grass.
913,electric-memory,45,1000,50,,Electric Memory,Held: Changes Silvally to its Electric form.  Changes Multi-Attack's type to Electric.,Held: Changes Silvally to its Electric form.  Changes Multi-Attack's type to Electric.
914,psychic-memory,45,1000,50,,Psychic Memory,Held: Changes Silvally to its Psychic form.  Changes Multi-Attack's type to Psychic.,Held: Changes Silvally to its Psychic form.  Changes Multi-Attack's type to Psychic.
915,ice-memory,45,1000,50,,Ice Memory,Held: Changes Silvally to its Ice form.  Changes Multi-Attack's type to Ice.,Held: Changes Silvally to its Ice form.  Changes Multi-Attack's type to Ice.
916,dragon-memory,45,1000,50,,Dragon Memory,Held: Changes Silvally to its Dragon form.  Changes Multi-Attack's type to Dragon.,Held: Changes Silvally to its Dragon form.  Changes Multi-Attack's type to Dragon.
917,dark-memory,45,1000,50,,Dark Memory,Held: Changes Silvally to its Dark form.  Changes Multi-Attack's type to Dark.,Held: Changes Silvally to its Dark form.  Changes Multi-Attack's type to Dark.
918,fairy-memory,45,1000,50,,Fairy Memory,Held: Changes Silvally to its Fairy form.  Changes Multi-Attack's type to Fairy.,Held: Changes Silvally to its Fairy form.  Changes Multi-Attack's type to Fairy.
919,bike--green,23,0,,,Bike,XXX new effect for bike--green,XXX new effect for bike--green
920,storage-key--galactic-warehouse,23,0,,,Storage Key,XXX new effect for storage-key--galactic-warehouse,XXX new effect for storage-key--galactic-warehouse
921,basement-key--goldenrod,23,0,,,Basement Key,XXX new effect for basement-key--goldenrod,XXX new effect for basement-key--goldenrod
922,xtransceiver--red,23,0,,,Xtransceiver,XXX new effect for xtranceiver--red,XXX new effect for xtranceiver--red
923,xtransceiver--yellow,23,0,,,Xtransceiver,XXX new effect for xtranceiver--yellow,XXX new effect for xtranceiver--yellow
924,dna-splicers--merge,23,0,,,DNA Splicers,XXX new effect for dna-splicers--merge,XXX new effect for dna-splicers--merge
925,dna-splicers--split,23,0,,,DNA Splicers,XXX new effect for dna-splicers--split,XXX new effect for dna-splicers--split
926,dropped-item--red,23,0,,,Dropped Item,XXX new effect for dropped-item--red,XXX new effect for dropped-item--red
927,dropped-item--yellow,23,0,,,Dropped Item,XXX new effect for dropped-item--yellow,XXX new effect for dropped-item--yellow
928,holo-caster--green,23,0,,,Holo Caster,XXX new effect for holo-caster--green,XXX new effect for holo-caster--green
929,bike--yellow,23,0,,,Bike,XXX new effect for bike--yellow,XXX new effect for bike--yellow
930,holo-caster--red,23,0,,,Holo Caster,XXX new effect for holo-caster--red,XXX new effect for holo-caster--red
931,basement-key--new-mauville,23,0,,,Basement Key,XXX new effect for basement-key--new-mauville,XXX new effect for basement-key--new-mauville
932,storage-key--sea-mauville,23,0,,,Storage Key,XXX new effect for storage-key--sea-mauville,XXX new effect for storage-key--sea-mauville
933,ss-ticket--hoenn,23,0,,,S.S. Ticket,XXX new effect for ss-ticket--hoenn,XXX new effect for ss-ticket--hoenn
934,contest-costume--dress,23,0,,,Contest Costume,XXX new effect for contest-costume--dress,XXX new effect for contest-costume--dress
935,meteorite--2,23,0,,,Meteorite,XXX new effect for meteorite--2,XXX new effect for meteorite--2
936,meteorite--3,23,0,,,Meteorite,XXX new effect for meteorite--3,XXX new effect for meteorite--3
937,meteorite--4,23,0,,,Meteorite,XXX new effect for meteorite--4,XXX new effect for meteorite--4
938,normalium-z--bag,23,0,,,Normalium Z,XXX new effect for normalium-z--bag,XXX new effect for normalium-z--bag
939,firium-z--bag,23,0,,,Firium Z,XXX new effect for firium-z--bag,XXX new effect for firium-z--bag
940,waterium-z--bag,23,0,,,Waterium Z,XXX new effect for waterium-z--bag,XXX new effect for waterium-z--bag
941,electrium-z--bag,23,0,,,Electrium Z,XXX new effect for electrium-z--bag,XXX new effect for electrium-z--bag
942,grassium-z--bag,23,0,,,Grassium Z,XXX new effect for grassium-z--bag,XXX new effect for grassium-z--bag
943,icium-z--bag,23,0,,,Icium Z,XXX new effect for icium-z--bag,XXX new effect for icium-z--bag
944,fightinium-z--bag,23,0,,,Fightinium Z,XXX new effect for fightinium-z--bag,XXX new effect for fightinium-z--bag
945,poisonium-z--bag,23,0,,,Poisonium Z,XXX new effect for poisonium-z--bag,XXX new effect for poisonium-z--bag
946,groundium-z--bag,23,0,,,Groundium Z,XXX new effect for groundium-z--bag,XXX new effect for groundium-z--bag
947,flyinium-z--bag,23,0,,,Flyinium Z,XXX new effect for flyinium-z--bag,XXX new effect for flyinium-z--bag
948,psychium-z--bag,23,0,,,Psychium Z,XXX new effect for psychium-z--bag,XXX new effect for psychium-z--bag
949,buginium-z--bag,23,0,,,Buginium Z,XXX new effect for buginium-z--bag,XXX new effect for buginium-z--bag
950,rockium-z--bag,23,0,,,Rockium Z,XXX new effect for rockium-z--bag,XXX new effect for rockium-z--bag
951,ghostium-z--bag,23,0,,,Ghostium Z,XXX new effect for ghostium-z--bag,XXX new effect for ghostium-z--bag
952,dragonium-z--bag,23,0,,,Dragonium Z,XXX new effect for dragonium-z--bag,XXX new effect for dragonium-z--bag
953,darkinium-z--bag,23,0,,,Darkinium Z,XXX new effect for darkinium-z--bag,XXX new effect for darkinium-z--bag
954,steelium-z--bag,23,0,,,Steelium Z,XXX new effect for steelium-z--bag,XXX new effect for steelium-z--bag
955,fairium-z--bag,23,0,,,Fairium Z,XXX new effect for fairium-z--bag,XXX new effect for fairium-z--bag
956,pikanium-z--bag,23,0,,,Pikanium Z,XXX new effect for pikanium-z--bag,XXX new effect for pikanium-z--bag
957,decidium-z--bag,23,0,,,Decidium Z,XXX new effect for decidium-z--bag,XXX new effect for decidium-z--bag
958,incinium-z--bag,23,0,,,Incinium Z,XXX new effect for incinium-z--bag,XXX new effect for incinium-z--bag
959,primarium-z--bag,23,0,,,Primarium Z,XXX new effect for primarium-z--bag,XXX new effect for primarium-z--bag
960,tapunium-z--bag,23,0,,,Tapunium Z,XXX new effect for tapunium-z--bag,XXX new effect for tapunium-z--bag
961,marshadium-z--bag,23,0,,,Marshadium Z,XXX new effect for marshadium-z--bag,XXX new effect for marshadium-z--bag
962,aloraichium-z--bag,23,0,,,Aloraichium Z,XXX new effect for aloraichium-z--bag,XXX new effect for aloraichium-z--bag
963,snorlium-z--bag,23,0,,,Snorlium Z,XXX new effect for snorlium-z--bag,XXX new effect for snorlium-z--bag
964,eevium-z--bag,23,0,,,Eevium Z,XXX new effect for eevium-z--bag,XXX new effect for eevium-z--bag
965,mewnium-z--bag,23,0,,,Mewnium Z,XXX new effect for mewnium-z--bag,XXX new effect for mewnium-z--bag
966,pikashunium-z--bag,23,0,,,Pikashunium Z,XXX new effect for pikashunium-z--bag,XXX new effect for pikashunium-z--bag
967,solganium-z--held,23,0,,,Solganium Z,XXX new effect for solganium-z--held,XXX new effect for solganium-z--held
968,lunalium-z--held,23,0,,,Lunalium Z,XXX new effect for lunalium-z--held,XXX new effect for lunalium-z--held
969,ultranecrozium-z--held,23,0,,,Ultranecrozium Z,XXX new effect for ultranecrozium-z--held,XXX new effect for ultranecrozium-z--held
970,mimikium-z--held,23,0,,,Mimikium Z,XXX new effect for mimikium-z--held,XXX new effect for mimikium-z--held
971,lycanium-z--held,23,0,,,Lycanium Z,XXX new effect for lycanium-z--held,XXX new effect for lycanium-z--held
972,kommonium-z--held,23,0,,,Kommonium Z,XXX new effect for kommonium-z--held,XXX new effect for kommonium-z--held
973,solganium-z--bag,23,0,,,Solganium Z,XXX new effect for solganium-z--bag,XXX new effect for solganium-z--bag
974,lunalium-z--bag,23,0,,,Lunalium Z,XXX new effect for lunalium-z--bag,XXX new effect for lunalium-z--bag
975,ultranecrozium-z--bag,23,0,,,Ultranecrozium Z,XXX new effect for ultranecrozium-z--bag,XXX new effect for ultranecrozium-z--bag
976,mimikium-z--bag,23,0,,,Mimikium Z,XXX new effect for mimikium-z--bag,XXX new effect for mimikium-z--bag
977,lycanium-z--bag,23,0,,,Lycanium Z,XXX new effect for lycanium-z--bag,XXX new effect for lycanium-z--bag
978,kommonium-z--bag,23,0,,,Kommonium Z,XXX new effect for kommonium-z--bag,XXX new effect for kommonium-z--bag
979,z-power-ring,23,0,,,Z-Power Ring,XXX new effect for z-power-ring,XXX new effect for z-power-ring
980,pink-petal,23,0,,,Pink Petal,XXX new effect for pink-petal,XXX new effect for pink-petal
981,orange-petal,23,0,,,Orange Petal,XXX new effect for orange-petal,XXX new effect for orange-petal
982,blue-petal,23,0,,,Blue Petal,XXX new effect for blue-petal,XXX new effect for blue-petal
983,red-petal,23,0,,,Red Petal,XXX new effect for red-petal,XXX new effect for red-petal
984,green-petal,23,0,,,Green Petal,XXX new effect for green-petal,XXX new effect for green-petal
985,yellow-petal,23,0,,,Yellow Petal,XXX new effect for yellow-petal,XXX new effect for yellow-petal
986,purple-petal,23,0,,,Purple Petal,XXX new effect for purple-petal,XXX new effect for purple-petal
987,rainbow-flower,23,0,,,Rainbow Flower,XXX new effect for rainbow-flower,XXX new effect for rainbow-flower
988,surge-badge,23,0,,,Surge Badge,XXX new effect for surge-badge,XXX new effect for surge-badge
989,n-solarizer--merge,23,0,,,N-Solarizer,XXX new effect for n-solarizer--merge,XXX new effect for n-solarizer--merge
990,n-lunarizer--merge,23,0,,,N-Lunarizer,XXX new effect for n-lunarizer--merge,XXX new effect for n-lunarizer--merge
991,n-solarizer--split,23,0,,,N-Solarizer,XXX new effect for n-solarizer--split,XXX new effect for n-solarizer--split
992,n-lunarizer--split,23,0,,,N-Lunarizer,XXX new effect for n-lunarizer--split,XXX new effect for n-lunarizer--split
993,ilimas-normalium-z,23,0,,,Ilima Normalium Z,XXX new effect for ilimas-normalium-z,XXX new effect for ilimas-normalium-z
994,left-poke-ball,23,0,,,Left Poké Ball,XXX new effect for left-poke-ball,XXX new effect for left-poke-ball
995,roto-hatch,23,0,,,Roto Hatch,XXX new effect for roto-hatch,XXX new effect for roto-hatch
996,roto-bargain,23,0,,,Roto Bargain,XXX new effect for roto-bargain,XXX new effect for roto-bargain
997,roto-prize-money,23,0,,,Roto Prize Money,XXX new effect for roto-prize-money,XXX new effect for roto-prize-money
998,roto-exp-points,23,0,,,Roto Exp. Points,XXX new effect for roto-exp-points,XXX new effect for roto-exp-points
999,roto-friendship,23,0,,,Roto Friendship,XXX new effect for roto-friendship,XXX new effect for roto-friendship
1000,roto-encounter,23,0,,,Roto Encounter,XXX new effect for roto-encounter,XXX new effect for roto-encounter
1001,roto-stealth,23,0,,,Roto Stealth,XXX new effect for roto-stealth,XXX new effect for roto-stealth
1002,roto-hp-restore,23,0,,,Roto HP Restore,XXX new effect for roto-hp-restore,XXX new effect for roto-hp-restore
1003,roto-pp-restore,23,0,,,Roto PP Restore,XXX new effect for roto-pp-restore,XXX new effect for roto-pp-restore
1004,roto-boost,23,0,,,Roto Boost,XXX new effect for roto-boost,XXX new effect for roto-boost
1005,roto-catch,23,0,,,Roto Catch,XXX new effect for roto-catch,XXX new effect for roto-catch
1006,autograph,23,0,,,Autograph,,
1007,pokemon-box,23,0,,,Pokémon Box Link,,
1008,medicine-pocket,23,0,,,Medicine Pocket,,
1009,candy-jar,23,0,,,Candy Jar,,
1010,power-up-pocket,23,0,,,Power-Up Pocket,,
1011,clothing-trunk,23,0,,,Clothing Trunk,,
1012,catching-pocket,23,0,,,Catching Pocket,,
1013,battle-pocket,23,0,,,Battle Pocket,,
1014,silver-razz-berry,48,1000,10,,Silver Razz Berry,,
1015,golden-razz-berry,48,5000,10,,Golden Razz Berry,,
1016,silver-nanab-berry,48,1000,10,,Silver Nanab Berry,,
1017,golden-nanab-berry,48,5000,10,,Golden Nanab Berry,,
1018,silver-pinap-berry,48,1000,10,,Silver Pinap Berry,,
1019,golden-pinap-berry,48,5000,10,,Golden Pinap Berry,,
1020,secret-key--letsgo,22,0,,,Secret Key,,
1021,ss-ticket--letsgo,22,0,,,S.S. Ticket,,
1022,parcel--letsgo,22,0,,,Parcel,,
1023,card-key--letsgo,22,0,,,Card Key,,
1024,stretchy-spring,24,20,30,,Stretchy Spring,,
1025,chalky-stone,24,60,30,,Chalky Stone,,
1026,marble,24,300,30,,Marble,,
1027,lone-earring,24,600,30,,Lone Earring,,
1028,beach-glass,24,800,30,,Beach Glass,,
1029,gold-leaf,24,1000,30,,Gold Leaf,,
1030,silver-leaf,24,1000,30,,Silver Leaf,,
1031,polished-mud-ball,24,1200,30,,Polished Mud Ball,,
1032,tropical-shell,24,2000,30,,Tropical Shell,,
1033,leaf-letter--pikachu,24,0,30,,Leaf Letter,,
1034,leaf-letter--eevee,24,0,30,,Leaf Letter,,
1035,small-bouquet,24,0,30,,Small Bouquet,,
1036,lure,11,400,30,,Lure,,
1037,super-lure,11,700,30,,Super Lure,,
1038,max-lure,11,900,30,,Max Lure,,
1039,pewter-crunchies,30,250,30,,Pewter Crunchies,,
1040,health-candy,26,20,,,Health Candy,,
1041,mighty-candy,26,20,,,Mighty Candy,,
1042,tough-candy,26,20,,,Tough Candy,,
1043,smart-candy,26,20,,,Smart Candy,,
1044,courage-candy,26,20,,,Courage Candy,,
1045,quick-candy,26,20,,,Quick Candy,,
1046,health-candy-l,26,20,,,Health Candy L,,
1047,mighty-candy-l,26,20,,,Mighty Candy L,,
1048,tough-candy-l,26,20,,,Tough Candy L,,
1049,smart-candy-l,26,20,,,Smart Candy L,,
1050,courage-candy-l,26,20,,,Courage Candy L,,
1051,quick-candy-l,26,20,,,Quick Candy L,,
1052,health-candy-xl,26,20,,,Health Candy XL,,
1053,mighty-candy-xl,26,20,,,Mighty Candy XL,,
1054,tough-candy-xl,26,20,,,Tough Candy XL,,
1055,smart-candy-xl,26,20,,,Smart Candy XL,,
1056,courage-candy-xl,26,20,,,Courage Candy XL,,
1057,quick-candy-xl,26,20,,,Quick Candy XL,,
1058,bulbasaur-candy,47,20,,,Bulbasaur Candy,,
1059,charmander-candy,47,20,,,Charmander Candy,,
1060,squirtle-candy,47,20,,,Squirtle Candy,,
1061,caterpie-candy,47,20,,,Caterpie Candy,,
1062,weedle-candy,47,20,,,Weedle Candy,,
1063,pidgey-candy,47,20,,,Pidgey Candy,,
1064,rattata-candy,47,20,,,Rattata Candy,,
1065,spearow-candy,47,20,,,Spearow Candy,,
1066,ekans-candy,47,20,,,Ekans Candy,,
1067,pikachu-candy,47,20,,,Pikachu Candy,,
1068,sandshrew-candy,47,20,,,Sandshrew Candy,,
1069,nidoran-f-candy,47,20,,,Nidoran♀ Candy,,
1070,nidoran-m-candy,47,20,,,Nidoran♂ Candy,,
1071,clefairy-candy,47,20,,,Clefairy Candy,,
1072,vulpix-candy,47,20,,,Vulpix Candy,,
1073,jigglypuff-candy,47,20,,,Jigglypuff Candy,,
1074,zubat-candy,47,20,,,Zubat Candy,,
1075,oddish-candy,47,20,,,Oddish Candy,,
1076,paras-candy,47,20,,,Paras Candy,,
1077,venonat-candy,47,20,,,Venonat Candy,,
1078,diglett-candy,47,20,,,Diglett Candy,,
1079,meowth-candy,47,20,,,Meowth Candy,,
1080,psyduck-candy,47,20,,,Psyduck Candy,,
1081,mankey-candy,47,20,,,Mankey Candy,,
1082,growlithe-candy,47,20,,,Growlithe Candy,,
1083,poliwag-candy,47,20,,,Poliwag Candy,,
1084,abra-candy,47,20,,,Abra Candy,,
1085,machop-candy,47,20,,,Machop Candy,,
1086,bellsprout-candy,47,20,,,Bellsprout Candy,,
1087,tentacool-candy,47,20,,,Tentacool Candy,,
1088,geodude-candy,47,20,,,Geodude Candy,,
1089,ponyta-candy,47,20,,,Ponyta Candy,,
1090,slowpoke-candy,47,20,,,Slowpoke Candy,,
1091,magnemite-candy,47,20,,,Magnemite Candy,,
1092,farfetchd-candy,47,20,,,Farfetch’d Candy,,
1093,doduo-candy,47,20,,,Doduo Candy,,
1094,seel-candy,47,20,,,Seel Candy,,
1095,grimer-candy,47,20,,,Grimer Candy,,
1096,shellder-candy,47,20,,,Shellder Candy,,
1097,gastly-candy,47,20,,,Gastly Candy,,
1098,onix-candy,47,20,,,Onix Candy,,
1099,drowzee-candy,47,20,,,Drowzee Candy,,
1100,krabby-candy,47,20,,,Krabby Candy,,
1101,voltorb-candy,47,20,,,Voltorb Candy,,
1102,exeggcute-candy,47,20,,,Exeggcute Candy,,
1103,cubone-candy,47,20,,,Cubone Candy,,
1104,hitmonlee-candy,47,20,,,Hitmonlee Candy,,
1105,hitmonchan-candy,47,20,,,Hitmonchan Candy,,
1106,lickitung-candy,47,20,,,Lickitung Candy,,
1107,koffing-candy,47,20,,,Koffing Candy,,
1108,rhyhorn-candy,47,20,,,Rhyhorn Candy,,
1109,chansey-candy,47,20,,,Chansey Candy,,
1110,tangela-candy,47,20,,,Tangela Candy,,
1111,kangaskhan-candy,47,20,,,Kangaskhan Candy,,
1112,horsea-candy,47,20,,,Horsea Candy,,
1113,goldeen-candy,47,20,,,Goldeen Candy,,
1114,staryu-candy,47,20,,,Staryu Candy,,
1115,mr-mime-candy,47,20,,,Mr. Mime Candy,,
1116,scyther-candy,47,20,,,Scyther Candy,,
1117,jynx-candy,47,20,,,Jynx Candy,,
1118,electabuzz-candy,47,20,,,Electabuzz Candy,,
1119,pinsir-candy,47,20,,,Pinsir Candy,,
1120,tauros-candy,47,20,,,Tauros Candy,,
1121,magikarp-candy,47,20,,,Magikarp Candy,,
1122,lapras-candy,47,20,,,Lapras Candy,,
1123,ditto-candy,47,20,,,Ditto Candy,,
1124,eevee-candy,47,20,,,Eevee Candy,,
1125,porygon-candy,47,20,,,Porygon Candy,,
1126,omanyte-candy,47,20,,,Omanyte Candy,,
1127,kabuto-candy,47,20,,,Kabuto Candy,,
1128,aerodactyl-candy,47,20,,,Aerodactyl Candy,,
1129,snorlax-candy,47,20,,,Snorlax Candy,,
1130,articuno-candy,47,20,,,Articuno Candy,,
1131,zapdos-candy,47,20,,,Zapdos Candy,,
1132,moltres-candy,47,20,,,Moltres Candy,,
1133,dratini-candy,47,20,,,Dratini Candy,,
1134,mewtwo-candy,47,20,,,Mewtwo Candy,,
1135,mew-candy,47,20,,,Mew Candy,,
1136,meltan-candy,47,20,,,Meltan Candy,,
1137,magmar-candy,47,20,,,Magmar Candy,,
1138,endorsement,22,0,,,Endorsement,,
1139,pokemon-box-link,21,0,,,Pokémon Box Link,,
1140,wishing-star,22,0,,,Wishing Star,,
1141,dynamax-band,22,0,,,Dynamax Band,,
1142,fishing-rod--galar,21,0,,,Fishing Rod,,
1143,rotom-bike,21,0,,,Rotom Bike,,
1144,sausages,51,400,10,,Sausages,,
1145,bobs-food-tin,51,950,80,,Bob’s Food Tin,,
1146,bachs-food-tin,51,950,80,,Bach’s Food Tin,,
1147,tin-of-beans,51,400,80,,Tin of Beans,,
1148,bread,51,150,10,,Bread,,
1149,pasta,51,150,10,,Pasta,,
1150,mixed-mushrooms,51,400,10,,Mixed Mushrooms,,
1151,smoke-poke-tail,51,2200,10,,Smoke-Poke Tail,,
1152,large-leek,51,2200,20,,Large Leek,,
1153,fancy-apple,51,2200,20,,Fancy Apple,,
1154,brittle-bones,51,950,30,,Brittle Bones,,
1155,pack-of-potatoes,51,400,10,,Pack of Potatoes,,
1156,pungent-root,51,950,10,,Pungent Root,,
1157,salad-mix,51,400,10,,Salad Mix,,
1158,fried-food,51,150,10,,Fried Food,,
1159,boiled-egg,51,2200,20,,Boiled Egg,,
1160,camping-gear,21,0,,,Camping Gear,,
1161,rusted-sword,18,0,,,Rusted Sword,,
1162,rusted-shield,18,0,,,Rusted Shield,,
1163,fossilized-bird,35,5000,100,,Fossilized Bird,,
1164,fossilized-fish,35,5000,100,,Fossilized Fish,,
1165,fossilized-drake,35,5000,100,,Fossilized Drake,,
1166,fossilized-dino,35,5000,100,,Fossilized Dino,,
1167,strawberry-sweet,10,500,10,,Strawberry Sweet,,
1168,love-sweet,10,500,10,,Love Sweet,,
1169,berry-sweet,10,500,10,,Berry Sweet,,
1170,clover-sweet,10,500,10,,Clover Sweet,,
1171,flower-sweet,10,500,10,,Flower Sweet,,
1172,star-sweet,10,500,10,,Star Sweet,,
1173,ribbon-sweet,10,500,10,,Ribbon Sweet,,
1174,sweet-apple,10,2200,30,,Sweet Apple,,
1175,tart-apple,10,2200,30,,Tart Apple,,
1176,throat-spray,12,4000,30,,Throat Spray,,
1177,eject-pack,12,4000,50,,Eject Pack,,
1178,heavy-duty-boots,12,4000,80,,Heavy-Duty Boots,,
1179,blunder-policy,12,4000,80,,Blunder Policy,,
1180,room-service,12,4000,100,,Room Service,,
1181,utility-umbrella,12,4000,60,,Utility Umbrella,,
1182,exp-candy-xs,26,20,30,,Exp. Candy XS,,
1183,exp-candy-s,26,240,30,,Exp. Candy S,,
1184,exp-candy-m,26,1000,30,,Exp. Candy M,,
1185,exp-candy-l,26,3000,30,,Exp. Candy L,,
1186,exp-candy-xl,26,10000,30,,Exp. Candy XL,,
1187,dynamax-candy,26,0,30,,Dynamax Candy,,
1188,tr00,37,4000,10,,TR00,,
1189,tr01,37,6000,85,,TR01,,
1190,tr02,37,10000,90,,TR02,,
1191,tr03,37,16000,110,,TR03,,
1192,tr04,37,10000,90,,TR04,,
1193,tr05,37,10000,90,,TR05,,
1194,tr06,37,16000,110,,TR06,,
1195,tr07,37,6000,10,,TR07,,
1196,tr08,37,10000,90,,TR08,,
1197,tr09,37,16000,110,,TR09,,
1198,tr10,37,16000,100,,TR10,,
1199,tr11,37,10000,90,,TR11,,
1200,tr12,37,4000,10,,TR12,,
1201,tr13,37,2000,10,,TR13,,
1202,tr14,37,2000,10,,TR14,,
1203,tr15,37,16000,110,,TR15,,
1204,tr16,37,6000,80,,TR16,,
1205,tr17,37,4000,10,,TR17,,
1206,tr18,37,6000,80,,TR18,,
1207,tr19,37,4000,80,,TR19,,
1208,tr20,37,6000,10,,TR20,,
1209,tr21,37,4000,10,,TR21,,
1210,tr22,37,10000,90,,TR22,,
1211,tr23,37,4000,10,,TR23,,
1212,tr24,37,16000,120,,TR24,,
1213,tr25,37,6000,80,,TR25,,
1214,tr26,37,2000,10,,TR26,,
1215,tr27,37,4000,10,,TR27,,
1216,tr28,37,16000,120,,TR28,,
1217,tr29,37,4000,10,,TR29,,
1218,tr30,37,4000,10,,TR30,,
1219,tr31,37,10000,100,,TR31,,
1220,tr32,37,6000,80,,TR32,,
1221,tr33,37,6000,80,,TR33,,
1222,tr34,37,6000,120,,TR34,,
1223,tr35,37,6000,90,,TR35,,
1224,tr36,37,10000,95,,TR36,,
1225,tr37,37,4000,10,,TR37,,
1226,tr38,37,4000,10,,TR38,,
1227,tr39,37,16000,120,,TR39,,
1228,tr40,37,2000,10,,TR40,,
1229,tr41,37,6000,85,,TR41,,
1230,tr42,37,10000,90,,TR42,,
1231,tr43,37,16000,130,,TR43,,
1232,tr44,37,4000,10,,TR44,,
